item_id,ml_title,opiniones,confidence,score,score_2nd,tn_product_id,tn_name,tn_url,shared_codes,ml_cat,tn_cat,jaccard,will_import
MLA841760008,Boxer Lupo Premium Microfibra Sin Costuras Y Cómodo,41,high,33.0,28.0,353605686,Boxer Lupo Microfibra Sin Costuras,https://multilupo.com.ar/productos/boxer-lupo-microfibra-sin-costuras-modelo-671-003/,,boxer,boxer,1.0,True
MLA858191538,Medias Running Lupo Dry Fit Fitnes Pack X4,21,high,23.0,21.57,198580021,Medias Lupo Running-fitness Dry Fit 3360 Pack x4,https://multilupo.com.ar/productos/media-lupo-running-fitness-dry-fit-mod-3360-pack-x-4/,,medias,medias,0.5,True
MLA1371135180,Bombacha Mujer Lupo Algodón Clásica,4,high,32.0,32.0,198441668,Bombacha Lupo de Algodón,https://multilupo.com.ar/productos/bombacha-algodon-lupo-40351/,,bombacha,bombacha,1.0,True
MLA767951057,Vedetina Mujer Lupo Algodón Pack X2,4,high,26.33,23.0,239449810,Vedetina Lupo Algodón Pack x2 40354-01 Mujer,https://multilupo.com.ar/productos/vedetina-algodon-lupo-40354-pack-por-2-unidades/,,vedetina,vedetina,0.667,True
MLA1423140364,Slip Hombre Lupo Algodón Talles Grandes 55402,3,high,73.0,22.0,198442636,Slip Lupo Algodón Talles Plus 554-03,https://multilupo.com.ar/productos/slip-algodon-lupo-modelo-554-02-talles-grandes-hasta-xxxl/,55402,slip,slip,0.5,True
MLA1568928471,Boxer Hombre Lupo Microfibra Sin Costuras,3,high,33.0,29.0,353605686,Boxer Lupo Microfibra Sin Costuras,https://multilupo.com.ar/productos/boxer-lupo-microfibra-sin-costuras-modelo-671-003/,,boxer,boxer,1.0,True
MLA3453240256,Boxer Hombre Lupo Microfibra Sin Costura Premium Bordó Xg,2,high,26.0,26.0,198567719,Boxer Lupo Microfibra Sin Costura 671-02 Hombre,https://multilupo.com.ar/productos/boxer-lupo-microfibra-sin-costura-art-671/,,boxer,boxer,0.6,True
MLA3453201876,Boxer Hombre Lupo Microfibra Sin Costura Premium Azul Xg,2,high,26.0,26.0,198567719,Boxer Lupo Microfibra Sin Costura 671-02 Hombre,https://multilupo.com.ar/productos/boxer-lupo-microfibra-sin-costura-art-671/,,boxer,boxer,0.6,True
MLA3453201874,Boxer Hombre Lupo Microfibra Sin Costura Premium Azul P,2,high,26.0,26.0,198567719,Boxer Lupo Microfibra Sin Costura 671-02 Hombre,https://multilupo.com.ar/productos/boxer-lupo-microfibra-sin-costura-art-671/,,boxer,boxer,0.6,True
MLA2506644200,Top Corpiño Deportivo Mujer Lupo Sin Costuras Taza Soft,2,high,27.5,21.5,303580067,Corpiño Lupo Microfibra Deportivo Sin Costuras Taza Soft Removible,https://multilupo.com.ar/productos/corpino-deportivo-sin-costuras-con-taza-soft-removible-lupo-41902-muhov/,,corpino,corpino,0.625,True
MLA2247398550,Bermuda Comoda Deportiva Mujer Lupo Elastizada,1,low,15.33,14.86,198576444,Bermuda Lupo Emana Modeladora Mujer,https://multilupo.com.ar/productos/bermuda-lupo-emana-modeladora-5692/,,bermuda,bermuda,0.167,False
MLA661780359,Boxer Hombre Lupo Micromodal Sin Costuras,76,high,26.0,23.0,198443955,Boxer Largo Lupo Bermuda Micromodal Sin Costuras Hombre,https://multilupo.com.ar/productos/boxer-largo-bermuda-lupo-mod-674-micromodal-sin-costuras/,,boxer,boxer,0.6,True
MLA663184844,Boxer Lupo Premium Microfibra Sin Costuras,71,high,33.0,28.0,353605686,Boxer Lupo Microfibra Sin Costuras,https://multilupo.com.ar/productos/boxer-lupo-microfibra-sin-costuras-modelo-671-003/,,boxer,boxer,1.0,True
MLA674490127,Bermuda Antiroce Microfibra Lupo Negro 1,58,high,33.0,28.0,198569282,Bermuda Lupo Antiroce Microfibra,https://multilupo.com.ar/productos/bermuda-antiroce-microfibra-lupo-art-41805/,,bermuda,bermuda,1.0,True
MLA1789701607,Bermuda Antiroce Microfibra Lupo Beige 1,58,high,33.0,28.0,198569282,Bermuda Lupo Antiroce Microfibra,https://multilupo.com.ar/productos/bermuda-antiroce-microfibra-lupo-art-41805/,,bermuda,bermuda,1.0,True
MLA1789701603,Bermuda Antiroce Microfibra Lupo Beige 3,58,high,33.0,28.0,198569282,Bermuda Lupo Antiroce Microfibra,https://multilupo.com.ar/productos/bermuda-antiroce-microfibra-lupo-art-41805/,,bermuda,bermuda,1.0,True
MLA3079518466,Bermuda Antiroce Microfibra Lupo Negro 3,58,high,33.0,28.0,198569282,Bermuda Lupo Antiroce Microfibra,https://multilupo.com.ar/productos/bermuda-antiroce-microfibra-lupo-art-41805/,,bermuda,bermuda,1.0,True
MLA1713433509,Bermuda Antiroce Microfibra Lupo Negro 2,58,high,33.0,28.0,198569282,Bermuda Lupo Antiroce Microfibra,https://multilupo.com.ar/productos/bermuda-antiroce-microfibra-lupo-art-41805/,,bermuda,bermuda,1.0,True
MLA3079518468,Bermuda Antiroce Microfibra Lupo Negro 4,58,high,33.0,28.0,198569282,Bermuda Lupo Antiroce Microfibra,https://multilupo.com.ar/productos/bermuda-antiroce-microfibra-lupo-art-41805/,,bermuda,bermuda,1.0,True
MLA1789701605,Bermuda Antiroce Microfibra Lupo Beige 4,58,high,33.0,28.0,198569282,Bermuda Lupo Antiroce Microfibra,https://multilupo.com.ar/productos/bermuda-antiroce-microfibra-lupo-art-41805/,,bermuda,bermuda,1.0,True
MLA1789701601,Bermuda Antiroce Microfibra Lupo Beige 2,58,high,33.0,28.0,198569282,Bermuda Lupo Antiroce Microfibra,https://multilupo.com.ar/productos/bermuda-antiroce-microfibra-lupo-art-41805/,,bermuda,bermuda,1.0,True
MLA674500213,Boxer De Mujer Lupo Microfibra Sin Costuras,30,high,33.0,24.0,353605686,Boxer Lupo Microfibra Sin Costuras,https://multilupo.com.ar/productos/boxer-lupo-microfibra-sin-costuras-modelo-671-003/,,boxer,boxer,1.0,True
MLA674494735,Corpiño Mujer Lupo Sin Costuras Control Top,15,high,26.0,19.67,198569537,Corpiño Lupo Control Top Sin Costura Mujer,https://multilupo.com.ar/productos/corpino-control-top-lupo-47180-sin-costura/,,corpino,corpino,0.6,True
MLA1458346813,Boxer Hombre Lupo Algodón Sin Costuras Premium Cómodo,14,high,26.33,26.33,198579284,Boxer Lupo de Algodón 523 Hombre,https://multilupo.com.ar/productos/boxer-de-algodon-lupo-modelo-523-002/,,boxer,boxer,0.667,True
MLA767977109,Vedetina Microfibra Sin Costura Lupo,11,high,28.0,28.0,198570478,Vedetina Lupo Algodón Microfibra Sin Costura,https://multilupo.com.ar/productos/vedetina-lupo-microfibra-sin-costura-40500/,,vedetina,vedetina,0.75,True
MLA767956463,Vedetina Less Algodón Lupo Pack X 2 Unidades,8,high,28.0,22.0,239450057,Vedetina Lupo Less Algodón Pack x2 40355-01 Mujer,https://multilupo.com.ar/productos/vedetina-less-algodon-lupo-40355-pack-x-2-unidades/,,vedetina,vedetina,0.75,True
MLA759387462,Slip Hombre Lupo Microfibra Lycra Sin Costuras,82,medium,19.67,19.67,302205065,Slip Lupo Micromodal Microfibra Sin Costura 681 Hombre,https://multilupo.com.ar/productos/slip-microfibra-sin-costura-681/,,slip,slip,0.333,True
MLA823265260,Bermuda Mujer Lupo Microfibra Antiroce Talle Plus,41,high,35.0,28.0,198576969,Bermuda Lupo Antiroce Microfibra Talle Plus Mujer,https://multilupo.com.ar/productos/bermuda-antiroce-microfibra-lupo-modelo-41806-talle-plus/,,bermuda,bermuda,1.0,True
MLA755782492,Bombacha De Mujer Lupo Microfibra Sin Costuras Invisible,31,high,24.0,19.67,198445687,Bombacha Lupo Microfibra Slim Alta Sin Costuras 5693 Mujer,https://multilupo.com.ar/productos/bombacha-slim-alta-sin-costuras-lupo-art-5693/,,bombacha,bombacha,0.5,True
MLA908082425,Body Slim Modelador Loba By Lupo,30,high,34.0,21.0,198580463,Body Lupo Slim Modelador Loba By Lupo,https://multilupo.com.ar/productos/body-slim-modelador-loba-by-lupo-47150-001/,,body,body,1.0,True
MLA674470106,Bombacha Faja Mujer Lupo Sin Costuras Control Abdomen,26,medium,18.71,18.67,302759111,Bombacha Lupo Algodón Curva Sin Costuras 40378 Mujer,https://multilupo.com.ar/productos/bombacha-curva-sin-costuras-40378-cdz27/,,bombacha,bombacha,0.286,True
MLA1466988832,Corpiño Mujer Lupo Sin Aro Ajustable Anatómico,22,medium,19.67,17.0,240654348,Corpiño Lupo Push-up Estampado con Aro 41276 Mujer,https://multilupo.com.ar/productos/corpino-push-up-estampado-con-aro-modelo-412761/,,corpino,corpino,0.333,True
MLA1604824639,Medias Lupo Algodón Puño Sin Elástico Pack X3,14,high,28.0,22.0,198575941,Medias Lupo Sin Puño Algodón Pack x3,https://multilupo.com.ar/productos/media-lupo-puno-sin-elastico-algodon-pack-con-3-unidades-art-1275/,,medias,medias,0.75,True
MLA783131749,Medias Deportivas Lupo Algodón Anatómicas Pack X3,14,high,28.0,22.0,353027248,Medias Lupo Algodón Deportivas Pack x3 Hombre,https://multilupo.com.ar/productos/medias-deportivas-lupo-hombre-pack-3-vn6c8/,,medias,medias,0.75,True
MLA1467177512,Bombacha Básica Lupo Mod. 40306 - Talles Xg-xxg Sin Costura,6,high,70.5,21.57,198443752,Bombacha Lupo Algodón Básica Plus Sin Costura,https://multilupo.com.ar/productos/bombacha-basica-lupo-mod-40306-talles-xg-xxg-sin-costura/,40306,bombacha,bombacha,0.375,True
MLA646607745,Bombacha Mujer Lupo Slim Tiro Alto Sin Costuras Beige Sin Costuras S,5,high,22.57,18.71,198445687,Bombacha Lupo Microfibra Slim Alta Sin Costuras 5693 Mujer,https://multilupo.com.ar/productos/bombacha-slim-alta-sin-costuras-lupo-art-5693/,,bombacha,bombacha,0.429,True
MLA767999343,Bombacha Sin Costura Lupo 40460 Pack X 3 Unidades,5,high,61.0,22.0,302063225,Vedetina Lupo Ángel Sin Costura Mujer,https://multilupo.com.ar/productos/vedetina-angel-sin-costura-40460/,40460,bombacha,vedetina,0.25,True
MLA3378507704,Body Slim Modelador Loba By Lupo 47150-001 Color Marrón Claro Talle G,57,high,114.0,18.0,198580463,Body Lupo Slim Modelador Loba By Lupo,https://multilupo.com.ar/productos/body-slim-modelador-loba-by-lupo-47150-001/,47150-001|47150001,body,body,0.5,True
MLA3378508534,Body Slim Modelador Loba By Lupo 47150-001 Color Marrón Claro Talle P,57,high,114.0,18.0,198580463,Body Lupo Slim Modelador Loba By Lupo,https://multilupo.com.ar/productos/body-slim-modelador-loba-by-lupo-47150-001/,47150-001|47150001,body,body,0.5,True
MLA3378494940,Body Slim Modelador Loba By Lupo 47150-001 Color Marrón Claro Talle M,57,high,114.0,18.0,198580463,Body Lupo Slim Modelador Loba By Lupo,https://multilupo.com.ar/productos/body-slim-modelador-loba-by-lupo-47150-001/,47150-001|47150001,body,body,0.5,True
MLA3428883636,Body Slim Modelador Loba By Lupo 47150-001 Color Marrón Claro Talle Gg,57,high,114.0,18.0,198580463,Body Lupo Slim Modelador Loba By Lupo,https://multilupo.com.ar/productos/body-slim-modelador-loba-by-lupo-47150-001/,47150-001|47150001,body,body,0.5,True
MLA3428885076,"Correa Desmontable Loba Slim Shaping Body Slim Slim Seam 7150, Color Negro, Talla S",57,low,6.0,6.0,198572061,Camiseta Lupo Algodón Musculosa Mujer,https://multilupo.com.ar/productos/camiseta-lupo-algodon-musculosa-modelo-45137/,,correa,,0.0,False
MLA1820670167,Body Slim Modelador Loba By Lupo 47150-001 Color Negro Talle M,57,high,119.0,19.67,198580463,Body Lupo Slim Modelador Loba By Lupo,https://multilupo.com.ar/productos/body-slim-modelador-loba-by-lupo-47150-001/,47150-001|47150001,body,body,0.75,True
MLA3428611720,Body Slim Modelador Loba By Lupo 47150-001 Color Negro Talle G,57,high,119.0,19.67,198580463,Body Lupo Slim Modelador Loba By Lupo,https://multilupo.com.ar/productos/body-slim-modelador-loba-by-lupo-47150-001/,47150-001|47150001,body,body,0.75,True
MLA3421450528,Body Slim Modelador Loba By Lupo 47150-001 Color Negro Talle Gg,57,high,119.0,19.67,198580463,Body Lupo Slim Modelador Loba By Lupo,https://multilupo.com.ar/productos/body-slim-modelador-loba-by-lupo-47150-001/,47150-001|47150001,body,body,0.75,True
MLA674492507,Faja Modeladora Lupo Con Pierna Sin Costura,41,high,34.0,25.0,198569415,Faja Lupo Modeladora con Pierna Sin Costura Mujer,https://multilupo.com.ar/productos/faja-modeladora-lupo-con-pierna-sin-costura-47120/,,faja,faja,1.0,True
MLA757920938,Slip Hombre Lupo Microfibra Sin Costuras Laterales,35,medium,19.67,19.67,302205065,Slip Lupo Micromodal Microfibra Sin Costura 681 Hombre,https://multilupo.com.ar/productos/slip-microfibra-sin-costura-681/,,slip,slip,0.333,True
MLA883954813,Corpiño Mujer Lupo Microfibra Sin Costuras Anatómico,30,high,26.0,20.5,204276887,Corpiño Lupo Microfibra Sin Costuras Y Encaje Loba 41260 Mujer,https://multilupo.com.ar/productos/corpino-sin-costuras-y-encaje-loba-lupo-41260/,,corpino,corpino,0.6,True
MLA852072580,Boxer Lupo Premium Algodón Confort,29,high,25.33,25.33,198579284,Boxer Lupo de Algodón 523 Hombre,https://multilupo.com.ar/productos/boxer-de-algodon-lupo-modelo-523-002/,,boxer,boxer,0.667,True
MLA1629305686,Medias Soquete Lupo Algodón Invisibles Pack X3,19,high,25.0,20.0,198571959,Medias Lupo Pack x3 Soquete Algodón 3225-89,https://multilupo.com.ar/productos/medias-lupo-tripack-soquete-algodon-3225-89/,,soquete,soquete,0.6,True
MLA1836989468,Media Lupo Dryfit Invisible Unisex,6,high,23.0,13.5,239449491,Medias Lupo Microfibra Dryfit Invisible Unisex 3276 Mujer,https://multilupo.com.ar/productos/media-lupo-dryfit-invisible-unisex-art-3276/,,medias,medias,0.5,True
MLA3378495668,Bombacha Reductora Lupo Tipo Short Sin Costura Negro P,204,high,31.67,23.0,198569039,Bombacha Lupo Algodón Reductora Tipo Short Sin Costura,https://multilupo.com.ar/productos/bombacha-reductora-lupo-tipo-short-sin-costura-art-41060/,,bombacha,bombacha,0.833,True
MLA3421463642,Faja Modeladora C/bretel Bajo Busto Lupo 47183apto P/cirugía Color Negro Talle Gg,174,high,71.27,18.45,198441344,Faja Lupo Microfibra Modeladora Bajo Busto 47183 Apta Post Operatoria,https://multilupo.com.ar/productos/faja-modeladora-c-bretel-bajo-busto-lupo-47183apto-p-cirugia1/,47183,faja,faja,0.364,True
MLA800481864,Bermuda Modeladora Mujer Lupo Sin Costuras Alta Compresión,77,high,28.33,19.67,344479341,Bermuda Lupo Modeladora Alta Compresión Sin Costura Mujer,https://multilupo.com.ar/productos/bermuda-modeladora-lupo-alta-compresion-sin-costura-1c4v8/,,bermuda,bermuda,0.667,True
